Glia and neuronal cell	Oligodendrocyte	B cell	Pericyte	Endothelial cell	T cell	Myeloid cell
1434x230	0.270965685360728	0.0226114876782161	0.0504317021011579	0.308724003047453	0.281203338726375	0.00816985598993153	0.0578939270961381
1467x230	0.280946838218911	0.026839446530633	0.049109529942981	0.31100445471015	0.258223527102317	0.00772904186167707	0.0661471616333303
1797x230	0.525516669429961	0.0201483739816215	0.0442445996122077	0.196550139766185	0.160022258492529	0.00230622623535474	0.0512117324821409
1830x230	0.522328443061176	0.0192992722306945	0.0566949178964158	0.200694570109886	0.149550084419258	0.00326076398058388	0.0481719483019863
1368x263	0.260068759607274	0.0125515400369576	0.0441403145214509	0.338544747582563	0.272739383158074	0.00224587432817118	0.0697093807655092
1401x263	0.272062075054239	0.01347059271666	0.0495564918726705	0.296002916560692	0.294981468607836	0.00403438799795588	0.0698920671899467
1434x263	0.278817078116285	0.0196730739499247	0.0492438127156515	0.292329083532681	0.296410464271222	0.00568436641546228	0.057842120998774
1467x263	0.276607277648903	0.0222536952505721	0.0495500762046918	0.294957885300323	0.290240551530649	0.00573926637642261	0.0606512476884382
1500x263	0.290432518562897	0.0269628013449685	0.0505639501115434	0.297782373332177	0.260113438419934	0.00532774555490415	0.0688171726735769
1797x263	0.503036144253937	0.0233189485770898	0.0540407573695402	0.178398686129989	0.183452566293848	0.0017061007423942	0.0560467966332009
1830x263	0.481354887356097	0.021509026616881	0.0610324222226896	0.206329946146578	0.182198544501033	0.00311672305230586	0.0444584501044159
1863x263	0.48981022250079	0.0156927689337191	0.0817608140018031	0.176707016936968	0.181851934748951	0.00410953837355317	0.0500677045042154
1368x296	0.22567430489031	0.013113256005407	0.0426945900692899	0.364656161699367	0.284423657623045	0.00241826727568465	0.0670197624368963
1401x296	0.260025991548144	0.0126043958888206	0.0471949593425963	0.314423996549411	0.297805260439903	0.0025373112178745	0.0654080850132508
1434x296	0.265037902032163	0.0174638308082018	0.0451816587787069	0.315865619330954	0.300609596942259	0.00364188952730629	0.0521995025804091
1467x296	0.26900952642143	0.0191170489106432	0.0460481640314436	0.313484598940203	0.295079018814512	0.00393374183182507	0.0533279010499425
