Glia and neuronal cell	Oligodendrocyte	B cell	Pericyte	Endothelial cell	T cell	Myeloid cell
14520x3300	0.176228192340503	0.0186333454217049	0.0175842211450618	0.329710758408518	0.286379593349288	0.000864588261073736	0.170599301073851
14900x3300	0.166646200442512	0.0193603964077508	0.0129065215716526	0.310685877073567	0.333565828288736	0.000436422825521582	0.15639875339026
13380x3680	0.165840157444114	0.0185969373562155	0.00638406025588307	0.319916275876974	0.411488750352678	0.000307084223518031	0.077466734490617
13760x3680	0.18525911795192	0.0214209370987242	0.0131254554473254	0.310054004399333	0.339438449996896	0.000471654172694768	0.130230380933107
14140x3680	0.180778078789046	0.019329334192334	0.016876946322438	0.329941783451657	0.30057405045826	0.000711341946980705	0.151788464839285
14520x3680	0.175536459636717	0.0195843371244857	0.0137722245037964	0.316738683010949	0.319092395318102	0.000819242769033973	0.154456657636916
14900x3680	0.170666002537692	0.0190070571406491	0.0089787651060848	0.296352923266928	0.364689455502208	0.000367060742185023	0.139938735704253
15280x3680	0.175935363159627	0.0170196129615672	0.00464461564036585	0.295150951840568	0.386957159291744	7.71001683934892e-05	0.120215196937735
15660x3680	0.180112022063119	0.0190924571182188	0.00355124804877054	0.260720733918602	0.428110586542803	6.11792936916195e-05	0.108351773014795
16040x3680	0.181442097098897	0.0230504451301046	0.0041190294400565	0.215529119256883	0.478275283125605	5.85792493017646e-05	0.0975254466991525
13000x4060	0.171999080083025	0.0194510564547106	0.00601305320359931	0.312421345549656	0.429175415253381	0.00046642657931757	0.0604736228763102
13380x4060	0.187322010535997	0.0225030393200598	0.00567342987454914	0.305133732522542	0.400067091750059	0.000628729278438598	0.078671966718354
13760x4060	0.188359196464428	0.0215076096073722	0.00810559017177213	0.313929650330712	0.367195226197886	0.000588118331051425	0.100314608896778
14140x4060	0.187173279552932	0.0211087114338251	0.0106686559503423	0.308782316493285	0.370709952768569	0.000422495280170712	0.101134588520876
14520x4060	0.181530206722996	0.0184379097800465	0.00672188224647148	0.296119749802275	0.390224644027342	0.000455232076837552	0.106510375344032
14900x4060	0.17443686261813	0.0182277383536094	0.00536624219724741	0.265364134576375	0.422908376343876	0.000284418646417069	0.113412227264345
15280x4060	0.181425450048271	0.0181174446370561	0.00302805870852026	0.258453128464701	0.432512233942725	7.92211895923743e-05	0.106384463009134
15660x4060	0.182021848492345	0.0194508780947456	0.00302596638296135	0.24428972679998	0.453615781442497	5.4082205255819e-05	0.0975417165822159
16040x4060	0.183838876296865	0.0235075917556664	0.00415661796749073	0.214072504191799	0.488305375832542	3.48537082212402e-05	0.0860841802474157
12240x4440	0.265164527506434	0.0192630651375787	0.00537874279861734	0.243024961007057	0.348301843508085	0.000465784814491079	0.118401075227738
12620x4440	0.238532809820851	0.0238636911754985	0.00739551647179206	0.24384689700453	0.36970348303406	0.000458943585721949	0.116198658907546
13000x4440	0.190847643194113	0.0235985819891059	0.00707367532065033	0.278467809586993	0.401547769580967	0.00224712632280835	0.0962173940053623
13380x4440	0.191503397318198	0.0247850311901518	0.00679845317422992	0.272506919325769	0.404152192279147	0.00215264035113172	0.0981013663613734
13760x4440	0.187491575205131	0.0224646673329821	0.00852586086371498	0.292214458269771	0.403051732536555	0.000548712563411985	0.0857029932284345
