#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACKR1	CD4	9606.ENSP00000357103	9606.ENSP00000011653	0	0	0	0	0.056	0	0	0.480	0.488
ACKR1	LTBR	9606.ENSP00000357103	9606.ENSP00000228918	0	0	0	0	0	0	0	0.577	0.577
ACKR1	NECTIN2	9606.ENSP00000357103	9606.ENSP00000252483	0	0	0	0	0	0	0	0.986	0.986
ACKR1	SELP	9606.ENSP00000357103	9606.ENSP00000263686	0	0	0	0	0.399	0	0	0.204	0.501
ACKR1	NECTIN1	9606.ENSP00000357103	9606.ENSP00000264025	0	0	0	0	0	0	0	0.994	0.994
ACKR1	ERBB2	9606.ENSP00000357103	9606.ENSP00000269571	0	0	0	0	0	0	0	0.422	0.422
ACKR1	ACKR3	9606.ENSP00000357103	9606.ENSP00000272928	0	0	0	0	0	0	0	0.621	0.621
ACKR1	CCR2	9606.ENSP00000357103	9606.ENSP00000292301	0	0	0	0	0.042	0	0	0.653	0.653
ACKR1	CCR5	9606.ENSP00000357103	9606.ENSP00000292303	0	0	0	0	0.064	0.322	0	0.540	0.682
ACKR1	CXCR1	9606.ENSP00000357103	9606.ENSP00000295683	0	0	0	0	0.056	0	0	0.710	0.714
ACKR1	CCR1	9606.ENSP00000357103	9606.ENSP00000296140	0	0	0	0	0.042	0	0	0.615	0.615
ACKR1	CD34	9606.ENSP00000357103	9606.ENSP00000310036	0	0	0	0	0.126	0	0	0.350	0.408
ACKR1	HAVCR2	9606.ENSP00000357103	9606.ENSP00000312002	0	0	0	0	0.045	0	0	0.432	0.434
ACKR1	CXCR2	9606.ENSP00000357103	9606.ENSP00000319635	0	0	0	0	0.059	0	0	0.507	0.516
ACKR1	TNFRSF14	9606.ENSP00000357103	9606.ENSP00000347948	0	0	0	0	0.042	0	0	0.998	0.998
ACKR1	CX3CR1	9606.ENSP00000357103	9606.ENSP00000351059	0	0	0	0	0.043	0	0	0.545	0.545
ACKR1	APLNR	9606.ENSP00000357103	9606.ENSP00000475344	0	0	0	0	0.246	0	0	0.250	0.410
ACKR1	TNFRSF1B	9606.ENSP00000357103	9606.ENSP00000365435	0	0	0	0	0.061	0	0	0.402	0.414
ACKR1	CD8A	9606.ENSP00000357103	9606.ENSP00000386559	0	0	0	0	0.056	0	0	0.447	0.455
ACKR1	CD44	9606.ENSP00000357103	9606.ENSP00000398632	0	0	0	0	0	0	0	0.531	0.531
ACKR1	CADM3	9606.ENSP00000357103	9606.ENSP00000357106	0	0	0	0	0.291	0	0	0.458	0.599
ACKR1	CXCR4	9606.ENSP00000357103	9606.ENSP00000386884	0	0	0	0	0.043	0	0	0.691	0.691
ACKR1	ACKR2	9606.ENSP00000357103	9606.ENSP00000416996	0	0	0	0	0.064	0	0	0.706	0.713
ACKR2	CD4	9606.ENSP00000416996	9606.ENSP00000011653	0	0	0	0	0	0.091	0	0.720	0.734
ACKR2	LAG3	9606.ENSP00000416996	9606.ENSP00000203629	0	0	0	0	0	0.091	0	0.397	0.428
ACKR2	MADCAM1	9606.ENSP00000416996	9606.ENSP00000215637	0	0	0	0	0.044	0	0	0.996	0.996
ACKR2	IL2RB	9606.ENSP00000416996	9606.ENSP00000216223	0	0	0	0	0	0	0	0.400	0.400
ACKR2	KLRB1	9606.ENSP00000416996	9606.ENSP00000229402	0	0	0	0	0.042	0	0	0.479	0.479
ACKR2	CCR7	9606.ENSP00000416996	9606.ENSP00000246657	0	0	0	0.795	0.042	0	0	0.833	0.833
ACKR2	ITGAE	9606.ENSP00000416996	9606.ENSP00000263087	0	0	0	0	0	0	0	0.720	0.720
ACKR2	SELP	9606.ENSP00000416996	9606.ENSP00000263686	0	0	0	0	0.061	0	0	0.654	0.661
ACKR2	ICAM1	9606.ENSP00000416996	9606.ENSP00000264832	0	0	0	0	0	0	0	0.416	0.416
ACKR2	KLRG1	9606.ENSP00000416996	9606.ENSP00000266551	0	0	0	0	0	0	0	0.435	0.435
ACKR2	CD27	9606.ENSP00000416996	9606.ENSP00000266557	0	0	0	0	0.044	0	0	0.506	0.507
ACKR2	ITGB7	9606.ENSP00000416996	9606.ENSP00000267082	0	0	0	0	0	0	0	0.545	0.545
ACKR2	CXCR5	9606.ENSP00000416996	9606.ENSP00000292174	0	0	0	0.774	0	0	0	0.490	0.489
ACKR2	CCR2	9606.ENSP00000416996	9606.ENSP00000292301	0	0	0	0.843	0	0	0	0.803	0.803
ACKR2	CCR5	9606.ENSP00000416996	9606.ENSP00000292303	0	0	0	0.848	0.042	0	0	0.668	0.668
ACKR2	VCAM1	9606.ENSP00000416996	9606.ENSP00000294728	0	0	0	0	0	0.098	0	0.772	0.785
ACKR2	CXCR1	9606.ENSP00000416996	9606.ENSP00000295683	0	0	0	0.824	0	0	0	0.477	0.477
ACKR2	CCR1	9606.ENSP00000416996	9606.ENSP00000296140	0	0	0	0.871	0	0	0	0.824	0.824
ACKR2	IL7R	9606.ENSP00000416996	9606.ENSP00000306157	0	0	0	0	0	0	0	0.580	0.580
ACKR2	XCR1	9606.ENSP00000416996	9606.ENSP00000310405	0	0	0	0.842	0.049	0	0	0.436	0.440
ACKR2	ICOS	9606.ENSP00000416996	9606.ENSP00000319476	0	0	0	0	0.042	0	0	0.482	0.483
ACKR2	CXCR2	9606.ENSP00000416996	9606.ENSP00000319635	0	0	0	0.837	0	0	0	0.451	0.451
